Gene Symbol,Gene ID 
Igf2,ENSMUSG00000048583
Ccl2,ENSMUSG00000035385
Lhx2,ENSMUSG00000000247
Ccl11,ENSMUSG00000020676
Pdgfra,ENSMUSG00000029231
Sox9,ENSMUSG00000000567
Serpinf1,ENSMUSG00000000753
Il12rb1,ENSMUSG00000000791
Fasl,ENSMUSG00000000817
Ccl3,ENSMUSG00000000982
Col1a1,ENSMUSG00000001506
Esam,ENSMUSG00000001946
Axl,ENSMUSG00000002602
Tgfb1,ENSMUSG00000002603
Il17ra,ENSMUSG00000002897
Grin2c,ENSMUSG00000020734
Fosb,ENSMUSG00000003545
Calb2,ENSMUSG00000003657
Grm3,ENSMUSG00000003974
Sst,ENSMUSG00000004366
Pgf,ENSMUSG00000004791
Hdgf,ENSMUSG00000004897
Hspb1,ENSMUSG00000004951
Slc1a3,ENSMUSG00000005360
Kit,ENSMUSG00000005672
Pvalb,ENSMUSG00000005716
Otx1,ENSMUSG00000005917
Epor,ENSMUSG00000006235
Tgfbr1,ENSMUSG00000007613
Id3,ENSMUSG00000007872
Bmp7,ENSMUSG00000008999
Ccl8,ENSMUSG00000009185
Tnfrsf13b,ENSMUSG00000010142
Cd209a,ENSMUSG00000031494
Retn,ENSMUSG00000012705
Fgfrl1,ENSMUSG00000008090
Mertk,ENSMUSG00000014361
Cybb,ENSMUSG00000015340
Lpl,ENSMUSG00000015568
Il10,ENSMUSG00000016529
Prl,ENSMUSG00000021342
Nos2,ENSMUSG00000020826
Tnfsf13,ENSMUSG00000089669
Cd68,ENSMUSG00000018774
Csf2,ENSMUSG00000018916
Cxcl16,ENSMUSG00000018920
Ccl6,ENSMUSG00000018927
Ccl4,ENSMUSG00000018930
Cd22,ENSMUSG00000030577
Cd70,ENSMUSG00000019489
Traf3ip2,ENSMUSG00000019842
Nts,ENSMUSG00000019890
Arg1,ENSMUSG00000019987
Ccn2,ENSMUSG00000019997
Il20ra,ENSMUSG00000020007
Ifngr1,ENSMUSG00000020009
Ascl1,ENSMUSG00000020052
Egfr,ENSMUSG00000020122
Rad50,ENSMUSG00000020380
Ccl7,ENSMUSG00000035373
Aspa,ENSMUSG00000020774
Serpina3n,ENSMUSG00000021091
Fos,ENSMUSG00000021250
Gadd45g,ENSMUSG00000021453
Cxcl14,ENSMUSG00000021508
Cartpt,ENSMUSG00000021647
Thbs4,ENSMUSG00000021702
Fezf2,ENSMUSG00000021743
Clu,ENSMUSG00000022037
Tnfrsf10b,ENSMUSG00000022074
Mettl3,ENSMUSG00000022160
Jph4,ENSMUSG00000022208
Rad1,ENSMUSG00000022248
Sqle,ENSMUSG00000022351
Tnfrsf17,ENSMUSG00000022496
Hes1,ENSMUSG00000022528
Gsdmd,ENSMUSG00000022575
Lynx1,ENSMUSG00000022594
Ifngr2,ENSMUSG00000022965
Ifnar1,ENSMUSG00000022967
Il10rb,ENSMUSG00000022969
Sncg,ENSMUSG00000023064
Cxcl13,ENSMUSG00000023078
Ccl25,ENSMUSG00000023235
Cd4,ENSMUSG00000023274
Mx2,ENSMUSG00000023341
Dlx2,ENSMUSG00000023391
Trem2,ENSMUSG00000023992
Eif2ak2,ENSMUSG00000024079
Pigf,ENSMUSG00000024145
C3,ENSMUSG00000024164
Sox8,ENSMUSG00000024176
Tap2,ENSMUSG00000024339
Ltb,ENSMUSG00000024399
Hbegf,ENSMUSG00000024486
Pdgfrb,ENSMUSG00000024620
Csf1r,ENSMUSG00000024621
Fas,ENSMUSG00000024778
Tnfrsf25,ENSMUSG00000024793
Rad9a,ENSMUSG00000024824
Casp7,ENSMUSG00000025076
Tac2,ENSMUSG00000025400
Ifitm1,ENSMUSG00000025491
Ifitm3,ENSMUSG00000025492
Irf7,ENSMUSG00000025498
Ccr1,ENSMUSG00000025804
Cplx2,ENSMUSG00000025867
Casp4,ENSMUSG00000033538
Casp1,ENSMUSG00000025888
Il1r2,ENSMUSG00000026073
Opn3,ENSMUSG00000026525
Xcl1,ENSMUSG00000026573
Mrc1,ENSMUSG00000026712
Vim,ENSMUSG00000026728
Il2ra,ENSMUSG00000026770
Gad2,ENSMUSG00000026787
Nr4a2,ENSMUSG00000026826
Notch1,ENSMUSG00000026923
Il1f6,ENSMUSG00000026984
Nusap1,ENSMUSG00000027306
Siglec1,ENSMUSG00000027322
Bmp2,ENSMUSG00000027358
Il1b,ENSMUSG00000027398
Il1a,ENSMUSG00000027399
Stmn2,ENSMUSG00000027500
Car2,ENSMUSG00000027562
Il2,ENSMUSG00000027720
Vcam1,ENSMUSG00000027962
Neurog2,ENSMUSG00000027967
Pdgfc,ENSMUSG00000028019
Egf,ENSMUSG00000028017
Rfx5,ENSMUSG00000005774
Tacr3,ENSMUSG00000028172
Calb1,ENSMUSG00000028222
Nbn,ENSMUSG00000028224
Tmeff1,ENSMUSG00000028347
Tnfrsf1b,ENSMUSG00000028599
Csf3r,ENSMUSG00000028859
Tnfrsf4,ENSMUSG00000029075
Spp1,ENSMUSG00000029304
Bmp3,ENSMUSG00000029335
Ppbp,ENSMUSG00000029372
Cxcl15,ENSMUSG00000029375
Cxcl1,ENSMUSG00000029380
Lhx5,ENSMUSG00000029595
Flt1,ENSMUSG00000029648
Col1a2,ENSMUSG00000029661
Gpnmb,ENSMUSG00000029816
Usp18,ENSMUSG00000030107
Cd163,ENSMUSG00000008845
Emp1,ENSMUSG00000030208
Ltbr,ENSMUSG00000030339
Tnfrsf1a,ENSMUSG00000030341
Cd9,ENSMUSG00000030342
Slc17a6,ENSMUSG00000030500
Il21r,ENSMUSG00000030745
Il4ra,ENSMUSG00000030748
Dkk3,ENSMUSG00000030772
Lyve1,ENSMUSG00000030787
Itgax,ENSMUSG00000030789
Crym,ENSMUSG00000030905
Mki67,ENSMUSG00000031004
Il13ra1,ENSMUSG00000017057
Brs3,ENSMUSG00000031130
Fgf13,ENSMUSG00000031137
Dcx,ENSMUSG00000031285
Il2rg,ENSMUSG00000031304
Lamp1,ENSMUSG00000031447
Gas6,ENSMUSG00000031451
Vegfc,ENSMUSG00000031520
Sfrp1,ENSMUSG00000031548
Msmo1,ENSMUSG00000031604
Irf2,ENSMUSG00000031627
Sall1,ENSMUSG00000031665
Cx3cl1,ENSMUSG00000031778
Ccl17,ENSMUSG00000031780
Cdh5,ENSMUSG00000031871
Cklf,ENSMUSG00000054400
Il10ra,ENSMUSG00000032089
Cmtm7,ENSMUSG00000032436
Eomes,ENSMUSG00000032446
Tdgf1,ENSMUSG00000032494
Mst1r,ENSMUSG00000032584
Mst1,ENSMUSG00000032591
Olig2,ENSMUSG00000039830
Cspg4,ENSMUSG00000032911
Ccl5,ENSMUSG00000035042
Foxj1,ENSMUSG00000034227
S100b,ENSMUSG00000033208
Il22ra2,ENSMUSG00000039760
Htr2a,ENSMUSG00000034997
Lum,ENSMUSG00000036446
Mif,ENSMUSG00000033307
Ythdc1,ENSMUSG00000035851
Inhbb,ENSMUSG00000037035
Sox5,ENSMUSG00000041540
Cxcl10,ENSMUSG00000034855
Csf3,ENSMUSG00000038067
Adrb1,ENSMUSG00000035283
Ccr3,ENSMUSG00000035448
Ntrk3,ENSMUSG00000059146
Thbs1,ENSMUSG00000040152
P2ry13,ENSMUSG00000036362
Fgf1,ENSMUSG00000036585
Maob,ENSMUSG00000040147
Neurod1,ENSMUSG00000034701
Neurod2,ENSMUSG00000038255
Inhba,ENSMUSG00000041324
Rln1,ENSMUSG00000039097
Neurod6,ENSMUSG00000037984
Tgfb2,ENSMUSG00000039239
Dtx4,ENSMUSG00000039982
Kiss1r,ENSMUSG00000035773
Slc32a1,ENSMUSG00000037771
S100a10,ENSMUSG00000041959
C1qc,ENSMUSG00000036896
C1qb,ENSMUSG00000036905
Txlna,ENSMUSG00000053841
Clcf1,ENSMUSG00000040663
Arx,ENSMUSG00000035277
Ptger2,ENSMUSG00000037759
Igfbp2,ENSMUSG00000039323
Tspo,ENSMUSG00000041736
Plvap,ENSMUSG00000034845
Tbr1,ENSMUSG00000035033
Anpep,ENSMUSG00000039062
Lrp1,ENSMUSG00000040249
Flt3,ENSMUSG00000042817
Nodal,ENSMUSG00000037171
Cd74,ENSMUSG00000024610
Lcn2,ENSMUSG00000026822
Synm,ENSMUSG00000030554
Chd7,ENSMUSG00000041235
Tle4,ENSMUSG00000024642
Nlrc4,ENSMUSG00000039193
Dlx5,ENSMUSG00000029755
Oxtr,ENSMUSG00000049112
Adrb2,ENSMUSG00000045730
Foxo1,ENSMUSG00000044167
Grin2b,ENSMUSG00000030209
Ccr4,ENSMUSG00000047898
Pou3f3,ENSMUSG00000045515
Fdft1,ENSMUSG00000021273
Fn1,ENSMUSG00000026193
Ifnb1,ENSMUSG00000048806
Ccr2,ENSMUSG00000049103
Cxcr3,ENSMUSG00000050232
Olig1,ENSMUSG00000046160
Neurog1,ENSMUSG00000048904
Ntf5,ENSMUSG00000074121
Il18,ENSMUSG00000039217
Npsr1,ENSMUSG00000043659
Crh,ENSMUSG00000049796
Gpr6,ENSMUSG00000046922
Cd14,ENSMUSG00000051439
Cxcr5,ENSMUSG00000047880
Tnfsf15,ENSMUSG00000050395
Ccr10,ENSMUSG00000044052
Agt,ENSMUSG00000031980
Sp8,ENSMUSG00000048562
Syt1,ENSMUSG00000035864
Cx3cr1,ENSMUSG00000052336
Adcyap1,ENSMUSG00000024256
Galr1,ENSMUSG00000024553
Cd8b1,ENSMUSG00000053044
Ly6c1,ENSMUSG00000079018
Ackr3,ENSMUSG00000044337
Jak2,ENSMUSG00000024789
Bcl11b,ENSMUSG00000048251
